Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
92,94.10816231358362,21.637694511503444,5.1448655296826535,0,0.19666666666666666,0.18666666666666665,0.20666666666666667,2000,0.0009980333827557437,0.0009980333827557437,0.0009980333827557437,92_93:0.07966679801480167,92_93:660
93,134.33681354389407,89.87333693722532,5.2300874042208125,-0.30021226807326484,0.009500000000000064,0.010800000000000032,0.0082,2000,0.0006388151272170796,0.0006388151272170796,0.0006388151272170796,undefined,undefined
94,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,94_101:1,94_101:135
95,61.66573675286572,13.920592025331777,5.3462571259930955,-0.29827969118211484,0.09333333333333338,0.06000000000000005,0.12666666666666668,2000,0.001610729690990019,0.001610729690990019,0.001610729690990019,95_71:0.03664215075385785; 95_105:0.03635285248015435,95_71:660; 95_105:660
96,94.32353904219396,79.70050175438948,5.154651759674073,-0.3017519185743965,0.0968,0.08620000000000005,0.1074,2000,0.0016864004070636439,0.0016864004070636439,0.0016864004070636439,undefined,undefined
97,97.19214573140063,70.39919013806927,5.117911490865174,-0.30181215421720203,0.08139999999999992,0.0898,0.07299999999999995,2000,0.0005939852213081321,0.0005939852213081321,0.0005939852213081321,97_79:0.02201588435146229,97_79:660
98,51.089240884139315,17.164412886626224,5.381307686425085,-0.29758139607465356,0.035499999999999976,0.0322,0.038799999999999946,2000,0.0007994855254430128,0.0007994855254430128,0.0007994855254430128,98_83:0.1499133676704814; 98_117:0.029366475414485838,98_83:660; 98_117:660
99,46.68493089811892,40.18802460757783,5.215545974792055,-0.30036223867342804,0.02289999999999992,0.0364,0.009399999999999964,2000,0.0007630344820665905,0.0007630344820665905,0.0007630344820665905,undefined,undefined
100,55.93960304491561,34.48629111571186,5.302452796142703,-0.29874050529792245,0.016999999999999904,0.023599999999999954,0.0104,2000,0.001427044680345438,0.001427044680345438,0.001427044680345438,100_91:0.02304946266468244,100_91:660
101,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,101_102:1,101_102:135
102,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,102_103:1,102_103:135
103,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,103_104:1; 103_128:1,103_104:135; 103_128:135
104,65.8842750574026,37.83238033762224,5.181811747306889,-0.30055080183701977,0.08666666666666667,0.06999999999999995,0.10333333333333333,2000,0.0010890818785913958,0.0010890818785913958,0.0010890818785913958,104_105:0.14591424061284092,104_105:660
105,155.5990475577533,17.588326820437377,5.096107797867017,0,0.14,0.1266666666666667,0.15333333333333332,2000,0.001110534033108819,0.001110534033108819,0.001110534033108819,undefined,undefined
106,24.526136422245184,9.294618476557313,5.30604827523651,-0.2966544433269025,0.015000000000000013,0.013333333333333334,0.01666666666666672,2000,0.0008646132330317605,0.0008646132330317605,0.0008646132330317605,106_107:0.01841776663391695; 106_105:0.1385775456365177,106_107:660; 106_105:660
107,130.52068651717548,45.01452934676508,5.0894487807841315,-0.302485227083852,0.10870000000000002,0.08360000000000001,0.1338,2000,0.0014253813631685216,0.0014253813631685216,0.0014253813631685216,107_108:0.03303817295328995,107_108:660
108,73.19788215054898,125.00211112909584,5.113443725706505,-0.3021696513706004,0.026699999999999946,0.03280000000000005,0.0206,2000,0.0009467864440308796,0.0009467864440308796,0.0009467864440308796,undefined,undefined
109,90.21096047595123,59.13104968515835,5.324827860720901,-0.2990661620878705,0.05259999999999998,0.0474,0.0578,2000,0.0005051667927487276,0.0005051667927487276,0.0005051667927487276,109_96:0.01693756163339047; 109_110:0.019441629001043154; 109_108:0.01700217110877089,109_96:660; 109_110:660; 109_108:660
110,50.05469750254115,76.16449306779278,5.372674825933387,-0.29783251301883024,0.04610000000000003,0.048799999999999955,0.0434,2000,0.0004974316003885717,0.0004974316003885717,0.0004974316003885717,110_111:0.025150102879686553,110_111:660
111,21.920193424730318,40.863898962993616,5.229698802463328,-0.30191672646500795,0.01990000000000003,0.0308,0.009000000000000008,2000,0.0008172256372359856,0.0008172256372359856,0.0008172256372359856,111_112:0.04562579853853724; 111_130:1,111_112:660; 111_130:660
112,44.427172062822216,48.683085588630895,5.086465257665686,-0.2946164262525555,0.025000000000000022,0.033333333333333326,0.016666666666666666,2000,0.0011284617582340486,0.0011284617582340486,0.0011284617582340486,112_113:0.26299812544485557,112_113:660
113,82.60228027175025,33.41318445570129,5.17916385352244,0,0.18500000000000005,0.16000000000000003,0.21,2000,0.000651766024804258,0.000651766024804258,0.000651766024804258,113_97:0.032459127640107804; 113_114:0.025948260112965332,113_97:660; 113_114:660
114,86.430638143801,45.169534648562326,5.219755685484399,-0.298820492368671,0.23839999999999995,0.2374,0.23939999999999995,2000,0.0004643366053271316,0.0004643366053271316,0.0004643366053271316,114_115:0.012722973605333143,114_115:660
115,73.85221216790016,99.65983480979008,5.141966128951388,-0.30236723477996225,0.12490000000000001,0.1274,0.12239999999999995,2000,0.0005442081688083855,0.0005442081688083855,0.0005442081688083855,undefined,undefined
116,84.93824400333145,87.04620767630709,5.044542167455115,-0.30233208996379557,0.012599999999999945,0.011399999999999966,0.0138,2000,0.00044306641747116304,0.00044306641747116304,0.00044306641747116304,116_117:0.02631344370623165; 116_115:0.018861348640182185,116_117:660; 116_115:660
117,63.49008234867705,15.469482394972589,5.137494720927508,-0.2963559719529893,0.09820000000000007,0.09079999999999999,0.1056,2000,0.0008563456547081096,0.0008563456547081096,0.0008563456547081096,undefined,undefined
118,48.13762055946364,15.852479287453475,5.413534874693584,-0.29482997359403595,0.02849999999999997,0.0332,0.023800000000000043,2000,0.0008680873232585334,0.0008680873232585334,0.0008680873232585334,118_119:0.024499976898126302; 118_117:0.07653039205143791,118_119:660; 118_117:660
119,34.61416724557121,39.22843098714143,5.294026565880786,-0.29999749671588893,0.10999999999999999,0.1,0.12,2000,0.0005461910422739131,0.0005461910422739131,0.0005461910422739131,119_120:1,119_120:660
120,120.14340424368743,56.785122742510005,5.118401354476468,-0.3017037956274723,0.17333333333333334,0.13,0.21666666666666667,2000,0.0005579019473843227,0.0005579019473843227,0.0005579019473843227,120_121:0.015267584283514435,120_121:660
121,138.7640117748202,68.6303766059302,5.083710158343026,-0.3024453834124367,0.028899999999999926,0.0374,0.020399999999999974,2000,0.000489485740066328,0.000489485740066328,0.000489485740066328,121_99:0.018507955357156936,121_99:660
122,53.94053753582901,27.960948841045813,5.293232010843683,-0.29397234711931475,0.04139999999999999,0.0466,0.03620000000000001,2000,0.009713864265562476,0.009713864265562476,0.009713864265562476,122_123:0.05696385923503022; 122_121:0.05041785536452223,122_123:660; 122_121:660
123,78.26780206584954,57.62294255592651,5.139677172639757,-0.30222213497793116,0.09760000000000002,0.1372,0.05800000000000005,2000,0.0014977487519943955,0.0014977487519943955,0.0014977487519943955,undefined,undefined
124,73.4272401666108,53.32049862252115,5.272657691948056,-0.2986613572300137,0.05059999999999998,0.0218,0.07940000000000003,2000,0.0004373781599661115,0.0004373781599661115,0.0004373781599661115,124_125:0.014128761140542234; 124_123:0.024226856738111813,124_125:660; 124_123:660
125,130.45245247605072,42.85404506809324,5.1141715836880035,-0.30148889032430115,0.010199999999999987,0.012,0.008399999999999963,2000,0.0004616834327802229,0.0004616834327802229,0.0004616834327802229,125_100:0.02491074526313497,125_100:660
