Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,vx (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
13,98.15072332,99.38364078,5.298593247,-0.299812084,0.0129,0.012,0.0138,2000,0.000460567,0.000460567,0.000460567,13_14:0.015251735919790288; 13_12:0.014511149180958166,13_14:660; 13_12:660
14,71.19685873,53.8863408,5.461165473,-0.29641322,0.095,0.083333333,0.106666667,2000,0.000451197,0.000451197,0.000451197,14_15:0.08592602890960126,14_15:660
15,56.37883735,18.33440967,5.221219506,0,0.253333333,0.216666667,0.29,2000,0.000754811,0.000754811,0.000754811,undefined,undefined
16,76.19140515,41.85945011,5.307720991,-0.3000536,0.0166,0.0106,0.0226,2000,0.000619215,0.000619215,0.000619215,16_17:0.0355482786316319; 16_15:0.031960017650819156,16_17:660; 16_15:660
17,84.53015639,6.342526732,5.418757438,-0.29658785,0.051666667,0.07,0.033333333,2000,0.00113142,0.00113142,0.00113142,17_18:0.09773662170082513,17_18:660
18,88.0886613,8.281507049,5.267901757,-0.299345801,0.215,0.2,0.23,2000,0.00136364,0.00136364,0.00136364,18_19:0.04306733103252,18_19:660
19,105.0835963,19.72936696,5.230792766,-0.29897348,0.0279,0.0272,0.0286,2000,0.001081714,0.001081714,0.001081714,undefined,undefined
20,63.21079542,26.82441811,5.134899486,-0.302817578,0.13,0.123333333,0.136666667,2000,0.000565187,0.000565187,0.000565187,20_19:0.04269894010558467; 20_31:1,20_19:660; 20_31:660
21,97.10855319,21.53946849,5.231875232,-0.300371412,0.0228,0.0172,0.0284,2000,0.000972697,0.000972697,0.000972697,21_20:0.02527983031841452; 21_22:0.03494558954667967,21_20:660; 21_22:660
22,28.72406298,19.82897651,5.047011313,-0.301500049,0.0772,0.0926,0.0618,2000,0.001116681,0.001116681,0.001116681,22_23:0.04964504657913227,22_23:660
23,114.8489772,14.22610188,5.140514858,-0.302456884,0.0462,0.041,0.0514,2000,0.000792621,0.000792621,0.000792621,undefined,undefined
24,54.04188947,18.92084041,5.393909916,-0.298671422,0.201666667,0.223333333,0.18,2000,0.000797316,0.000797316,0.000797316,24_23:0.034622880071554396; 24_32:1,24_23:660; 24_32:660
25,62.85962677,7.610325752,5.357178721,-0.295529267,0.0582,0.0526,0.0638,2000,0.0011196,0.0011196,0.0011196,25_24:0.04921600634520387,25_24:660
26,64.40774776,75.27544724,5.153884268,-0.301292607,0.0153,0.016,0.0146,2000,0.000569048,0.000569048,0.000569048,undefined,undefined
27,118.3725783,10.82795603,5.286665253,-0.299046137,0.0163,0.016,0.0166,2000,0.000837232,0.000837232,0.000837232,undefined,undefined
28,75.63511235,68.21165749,5.276504087,-0.299345543,0.0637,0.0618,0.0656,2000,0.000507232,0.000507232,0.000507232,undefined,undefined
29,97.73240878,23.34879824,5.105860073,-0.302223218,0.151666667,0.246666667,0.056666667,2000,0.00333035,0.00333035,0.00333035,29_45:0.30213676813187323,29_45:660
30,80.45188812,89.17591689,5.140157686,-0.301325902,0.0163,0.0214,0.0112,2000,0.00053277,0.00053277,0.00053277,30_16:0.01574130475270738,30_16:660
31,115.9795439,10.64521043,5.192818147,0,0.121666667,0.11,0.133333333,2000,0.003932878,0.003932878,0.003932878,undefined,undefined
32,121.8084842,68.34907545,5.082551445,-0.302120477,0.086666667,0.106666667,0.066666667,2000,0.001283735,0.001283735,0.001283735,undefined,undefined
33,164.953266,90.10102974,5.081480928,-0.303118085,0.0154,0.0156,0.0152,2000,0.000471832,0.000471832,0.000471832,33_26:0.014436874968468516,33_26:660
34,47.52412269,55.74186166,5.503803291,-0.292098117,0.029,0.0306,0.0274,2000,0.000537749,0.000537749,0.000537749,34_33:0.027134942035720783; 34_35:0.014567854437850913,34_33:1260; 34_35:660
35,111.3025969,65.49212297,5.311587449,-0.300038113,0.0178,0.0212,0.0144,2000,0.000496221,0.000496221,0.000496221,35_36:0.012237161316545758,35_36:660
36,77.9345511,58.58599774,5.103911186,-0.301750056,0.186,0.2016,0.1704,2000,0.000492796,0.000492796,0.000492796,36_37:0.03633238106158332,36_37:660
37,62.24058908,12.46968799,5.140342511,-0.372899143,0.1042,0.104,0.1044,2000,0.002801749,0.002801749,0.002801749,37_27:0.03215163653592698,37_27:660
38,90.30111095,10.73856457,5.383038102,-0.294790734,0.198333333,0.19,0.206666667,2000,0.000519982,0.000519982,0.000519982,38_37:0.03188702356565229; 38_39:0.029457354848511835,38_37:660; 38_39:660
39,108.9361676,74.32813795,4.992178041,-0.303264701,0.153333333,0.116666667,0.19,2000,0.000292914,0.000292914,0.000292914,undefined,undefined
40,74.62418305,71.25702308,5.230264382,-0.299660259,0.0305,0.0208,0.0402,2000,0.00044498,0.00044498,0.00044498,40_41:0.014086104010828299; 40_39:0.012901283349462583,40_41:660; 40_39:660
41,57.48895626,52.25398109,5.345152648,-0.299089721,0.0327,0.0298,0.0356,2000,0.000483186,0.000483186,0.000483186,41_28:0.01823698458387521,41_28:660
42,44.67841798,64.72232611,5.462051587,-0.29301124,0.0784,0.0244,0.1324,2000,0.000942304,0.000942304,0.000942304,42_41:0.022307393252687713; 42_43:0.018750163285507326,42_41:660; 42_43:660
43,120.2949717,90.97814395,5.218622598,-0.301012087,0.0583,0.0504,0.0662,2000,0.000497784,0.000497784,0.000497784,43_62:0.01775661071811896; 43_44:0.017452009858966583,43_62:660; 43_44:660
44,46.1965068,62.09864753,5.344783926,-0.295367659,0.3009,0.2748,0.327,2000,0.000589058,0.000589058,0.000589058,44_45:0.02489233662533158,44_45:660
45,98.11152161,51.02171158,5.205667216,-0.30115532,0.061666667,0.063333333,0.06,2000,0.000503976,0.000503976,0.000503976,45_46:0.015386505089231867,45_46:660
46,59.88082737,80.48345956,5.363516056,-0.295737475,0.2366,0.1158,0.3574,2000,0.000522839,0.000522839,0.000522839,46_47:0.017945830093226617,46_47:660
47,114.8387259,97.88792353,5.105889984,-0.302663833,0.2268,0.2216,0.232,2000,0.000540349,0.000540349,0.000540349,undefined,undefined
48,137.038998,32.58417391,5.132805476,-0.382532556,0.1222,0.1274,0.117,2000,0.000940137,0.000940137,0.000940137,48_47:0.02551274353736524,48_47:660
49,97.97055528,42.90648417,5.246619301,-0.300119379,0.0558,0.042,0.0696,2000,0.000608277,0.000608277,0.000608277,49_30:0.024333009354509577; 49_50:0.035927254268271896; 49_48:0.02522649274615879,49_30:660; 49_50:660; 49_48:660
50,49.29351866,34.33906525,5.286694917,-0.297958882,0.0768,0.1006,0.053,2000,0.00305261,0.00305261,0.00305261,50_51:0.0647484875974639,50_51:364
51,109.6616867,88.41241679,5.167991735,-0.300839874,0.046666667,0.046666667,0.046666667,2000,0.003550334,0.003550334,0.003550334,51_52:1,51_52:660
52,87.03936518,73.69585722,4.855347602,-0.305918477,0.1188,0.1846,0.053,2000,0.001213269,0.001213269,0.001213269,undefined,undefined
