Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
53,79.81311359,18.61304076,5.048009924,-0.307048961,0.0557,0.0634,0.048,864,0.001123438,0.001123438,0.001123438,53_60:0.01599240302608726; 53_41:0.019545297661931776,53_60:384; 53_41:376.88888888888886
54,101.1995183,106.5094906,5.023971876,-0.303351271,0.017,0.0234,0.0106,864,0.000268646,0.000268646,0.000268646,54_45:0.035926948957848565; 54_64:0.007652429034674779,54_45:547.5555555555555; 54_64:376.88888888888886
55,88.2370746,116.1411218,5.197496511,-0.305559564,0.0084,0.0064,0.0104,864,0.000228914,0.000228914,0.000228914,55_68:0.011131534437523738; 55_49:0.012766786533451202,55_68:469.3333333333333; 55_49:483.55555555555554
56,64.48503052,91.71518142,5.188051688,-0.305643874,0.0052,0.0078,0.0026,864,0.000256242,0.000256242,0.000256242,56_52:0.010466677139374908; 56_57:0.009237042050364158,56_52:526.2222222222222; 56_57:419.55555555555554
57,107.9229772,49.35167997,5.093311166,-0.306208182,0.0126,0.0178,0.0074,864,0.000197438,0.000197438,0.000197438,57_56:0.009237042050364158; 57_58:0.007634644256034079,57_56:384; 57_58:398.2222222222222
58,92.96426155,63.61639267,4.964947693,-0.309411885,0.0301,0.0366,0.0236,864,0.00022021,0.00022021,0.00022021,58_71:0.04154171357566433; 58_59:0.00852347306704651; 58_57:0.007634644256034079,58_71:625.7777777777777; 58_59:526.2222222222222; 58_57:433.77777777777777
59,78.69910318,77.01977189,5.019146071,-0.307940259,0.0172,0.021,0.0134,864,0.000234519,0.000234519,0.000234519,59_60:0.009888203362183018; 59_58:0.00852347306704651,59_60:440.88888888888886; 59_58:490.66666666666663
60,95.12940586,54.5457764,5.141143953,-0.306049955,0.0139,0.0122,0.0156,864,0.000269906,0.000269906,0.000269906,60_61:0.012377265436564422; 60_59:0.009888203362183018; 60_53:0.01599240302608726,60_61:426.66666666666663; 60_59:405.3333333333333; 60_53:419.55555555555554
61,116.9329366,181.8205789,4.875150737,-0.310097162,0.0458,0.0546,0.037,864,0.000213004,0.000213004,0.000213004,61_60:0.012377265436564422; 61_62:0.00657639888284503,61_60:462.2222222222222; 61_62:526.2222222222222
62,88.75284508,157.5660192,4.961121552,-0.309306133,0.0084,0.0116,0.0052,864,0.000196542,0.000196542,0.000196542,62_61:0.00657639888284503; 62_63:0.011742477830779113; 62_72:0.014727684650468614,62_61:561.7777777777777; 62_63:512; 62_72:376.88888888888886
63,122.0589827,136.3114571,5.044558855,-0.307982167,0.0071,0.0094,0.0048,864,0.000763891,0.000763891,0.000763891,63_62:0.011742477830779113; 63_64:0.011358180295289982,63_62:547.5555555555555; 63_64:440.88888888888886
64,96.99254754,90.19951697,5.258161866,-0.305052722,0.0292,0.0244,0.034,864,0.000298482,0.000298482,0.000298482,64_65:0.01035584820440097; 64_63:0.011358180295289982; 64_54:0.007652429034674779,64_65:853.3333333333333; 64_63:405.3333333333333; 64_54:341.3333333333333
65,123.5745621,106.4238895,5.101034174,-0.306114704,0.003,0.0058,0.0002,864,0.000221935,0.000221935,0.000221935,65_66:0.01282136845509757; 65_64:0.01035584820440097,65_66:682.6666666666666; 65_64:817.7777777777777
66,103.5644381,83.36338279,5.234264719,-0.294584038,0.0184,0.0254,0.0114,864,0.001765174,0.001765174,0.001765174,66_65:0.01282136845509757; 66_67:0.032801934623531676; 66_73:0.046906782250020734,66_65:718.2222222222222; 66_67:888.8888888888888; 66_73:504.88888888888886
