Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
106,326.1894843,215.8967819,4.878185802,-0.309312951,0.0195,0.0206,0.0184,4000,0.000206377,0.000206377,0.000206377,undefined,undefined
122,186.6798196,235.6547148,4.937609785,-0.307131343,0.0194,0.0184,0.0204,4000,0.000351954,0.000351954,0.000351954,122_111:0.006835718531332524; 122_123:0.00833605992041525; 122_121:0.016130951886393657,122_111:660; 122_123:660; 122_121:660
29,244.6688908,277.5273679,4.628648537,-0.312240887,0.0188,0.0174,0.0202,4000,0.000121293,0.000121293,0.000121293,undefined,undefined
124,109.6657772,61.89339619,4.949185445,-0.307286092,0.0188,0.0292,0.0084,4000,0.002125524,0.002125524,0.002125524,124_123:0.020397086534910597,124_123:660
54,119.3706856,138.5764649,4.96961606,-0.306993524,0.0186,0.0232,0.014,4000,0.000489457,0.000489457,0.000489457,54_64:0.010446711111257778; 54_45:0.026072990036139998,54_64:660; 54_45:660
38,280.7512253,137.4041618,4.776643141,-0.310165119,0.0182,0.0164,0.02,4000,0.00021693,0.00021693,0.00021693,undefined,undefined
7,370.9933169,232.4730436,4.967502864,-0.307457393,0.0181,0.0152,0.021,4000,0.000178785,0.000178785,0.000178785,7_8:0.004146557141976592,7_8:660
46,45.59633713,176.1088122,4.852876557,-0.309375207,0.0172,0.0174,0.017,4000,0.000427764,0.000427764,0.000427764,46_45:1; 46_47:1,46_45:660; 46_47:660
51,236.7695463,327.1874604,4.931192703,-0.307951404,0.0169,0.0232,0.0106,4000,0.000201107,0.000201107,0.000201107,undefined,undefined
59,235.8976123,55.02259976,4.971233406,-0.307626911,0.0156,0.0138,0.0174,4000,0.000298497,0.000298497,0.000298497,59_60:0.007941066227172,59_60:660
6,294.6568653,145.9485907,4.8762794,-0.30918835,0.0155,0.0188,0.0122,4000,0.00033165,0.00033165,0.00033165,6_7:0.006127240778466547; 6_5:0.007828144097590362,6_7:660; 6_5:660
10,298.6812841,257.4215002,4.831541852,-0.309743442,0.0155,0.0164,0.0146,4000,0.000116078,0.000116078,0.000116078,10_11:0.004835858579549129; 10_9:0.006189589106592008,10_11:660; 10_9:660
39,274.015973,128.8694912,4.91732251,-0.3082477,0.0151,0.0136,0.0166,4000,0.000168715,0.000168715,0.000168715,39_38:0.00811306574845963,39_38:660
98,113.4535635,56.26890767,4.942904094,-0.308363471,0.015,0.0172,0.0128,4000,0.000847049,0.000847049,0.000847049,98_91:0.015952740960283013,98_91:660
4,356.9067488,270.4905357,4.818123803,-0.310371308,0.015,0.0166,0.0134,4000,0.000128469,0.000128469,0.000128469,4_3:0.0056775364329899325; 4_15:0.0045884717050677926; 4_5:0.008735080704296516,4_3:660; 4_15:660; 4_5:660
26,303.0155248,160.3881029,4.854114164,-0.309769228,0.015,0.0104,0.0196,4000,0.000146093,0.000146093,0.000146093,26_25:0.014886718276032496,26_25:660
35,201.4008239,101.2842429,4.907567592,-0.308301774,0.0149,0.0146,0.0152,4000,0.00090661,0.00090661,0.00090661,35_47:0.008646453522395042,35_47:660
57,123.6799194,105.0629793,4.927588565,-0.307786118,0.0147,0.0224,0.007,4000,0.003663428,0.003663428,0.003663428,57_58:0.03744911323697897,57_58:660
13,355.6127979,100.8684366,5.005808557,-0.30676504,0.0146,0.0118,0.0174,4000,0.00022247,0.00022247,0.00022247,13_12:0.00789615814598299,13_12:660
79,206.9517659,55.81513327,4.863155412,-0.309271326,0.0145,0.0156,0.0134,4000,0.000336058,0.000336058,0.000336058,79_80:0.007875976798591144; 79_78:0.0086305733822519,79_80:660; 79_78:660
111,242.9416099,208.2403623,4.853173218,-0.309612552,0.0145,0.0152,0.0138,4000,0.000197725,0.000197725,0.000197725,111_104:0.027544203999084665,111_104:660
117,135.7483941,224.2829084,4.833115168,-0.309214183,0.0142,0.0142,0.0142,4000,0.00032757,0.00032757,0.00032757,117_118:0.006481563783396316,117_118:660
20,345.0121147,201.1806746,4.862324054,-0.309097891,0.0138,0.0112,0.0164,4000,0.000209595,0.000209595,0.000209595,20_33:0.024608961190977274; 20_19:0.008413066367742167,20_33:660; 20_19:660
62,153.6825435,177.627064,4.935230463,-0.30799212,0.0138,0.0154,0.0122,4000,0.000214072,0.000214072,0.000214072,62_63:0.005993750849353191; 62_61:0.00583292944176747; 62_72:0.00924488765267703,62_63:660; 62_61:660; 62_72:660
1,319.9307942,280.7932842,4.815133416,-0.309744032,0.0136,0.014,0.0132,4000,0.00012895,0.00012895,0.00012895,1_0:0.005465435903993621,1_0:660
12,325.3210379,179.7739944,4.936227248,-0.307960827,0.0136,0.013,0.0142,4000,0.000218952,0.000218952,0.000218952,12_17:0.005228862174089993,12_17:660
110,211.7754426,329.5063146,4.83017968,-0.309047231,0.0136,0.0118,0.0154,4000,0.000245357,0.000245357,0.000245357,110_118:0.005988005400915181,110_118:660
116,278.064555,303.1232971,4.912729528,-0.308298395,0.0133,0.0084,0.0182,4000,0.00016071,0.00016071,0.00016071,116_117:0.00884816145333775; 116_115:0.005313321026224865,116_117:660; 116_115:660
55,351.4335758,69.58500094,4.837233685,-0.310380481,0.0131,0.0144,0.0118,4000,0.00020291,0.00020291,0.00020291,55_68:0.00572166013292652; 55_49:0.00879132006064659,55_68:660; 55_49:660
94,101.5933238,141.3260503,4.975827197,-0.307645872,0.013,0.014,0.012,4000,0.000466229,0.000466229,0.000466229,94_95:0.005650084436523983; 94_90:0.01570504378127832,94_95:660; 94_90:660
14,311.3096568,104.3595229,4.903343259,-0.308419961,0.0129,0.012,0.0138,4000,0.000157371,0.000157371,0.000157371,14_0:0.00456599708276767; 14_18:0.004860772562400084,14_0:660; 14_18:660
83,150.7591159,74.46830628,4.790665303,-0.31061744,0.0127,0.0144,0.011,4000,0.000171509,0.000171509,0.000171509,83_92:0.007128107904231712,83_92:660
36,270.6306215,184.3778563,4.812342887,-0.31175121,0.0125,0.0146,0.0104,4000,0.00014856,0.00014856,0.00014856,36_51:0.0045912929028116,36_51:660
73,87.88963783,132.0839681,4.979581101,-0.307607369,0.0125,0.0182,0.0068,4000,0.000390387,0.000390387,0.000390387,73_66:0.009267530358910453,73_66:660
18,196.6738592,84.49854428,4.78824508,-0.31063599,0.0124,0.0146,0.0102,4000,0.000215523,0.000215523,0.000215523,18_19:0.007825725490043733,18_19:660
56,60.93541832,61.95714819,4.814528954,-0.309745716,0.0124,0.0142,0.0106,4000,0.000610546,0.000610546,0.000610546,56_57:0.014365215644228352,56_57:660
71,241.2705757,238.6905796,4.788265944,-0.309466346,0.0121,0.0156,0.0086,4000,0.000181628,0.000181628,0.000181628,undefined,undefined
126,256.0302724,178.1712682,4.908239485,-0.308575726,0.0121,0.0196,0.0046,4000,0.000127036,0.000127036,0.000127036,undefined,undefined
72,144.5180709,106.3977446,5.059189456,-0.29854587,0.0118,0.014,0.0096,4000,0.000244122,0.000244122,0.000244122,undefined,undefined
